hora_col,n_posts,lambda_posts_por_dia,vistas_media,vistas_mediana,vistas_std,fwd_rate,pct_con_cupon
0,168,1.1667,392.6,410.5,60.5,0.00215,0.792
1,54,0.375,505.6,501.0,55.0,0.0013,0.778
2,12,0.0833,652.8,649.0,118.8,0.00049,0.583
3,1,0.0069,931.0,931.0,,0.0,0.0
4,18,0.125,377.4,368.5,41.4,0.00199,0.778
5,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0.0139,438.0,438.0,4.2,0.00227,0.5
7,90,0.625,388.6,366.0,72.8,0.001,0.522
8,753,5.2292,339.1,328.0,78.2,0.00144,0.477
9,1096,7.6111,324.2,310.0,70.4,0.00134,0.453
10,1425,9.8958,316.3,308.0,60.7,0.00116,0.42
11,1615,11.2153,301.9,297.0,53.1,0.00119,0.459
12,1744,12.1111,296.9,289.0,55.7,0.00117,0.452
13,1751,12.1597,291.5,288.0,52.2,0.00123,0.448
14,1765,12.2569,289.2,284.0,52.1,0.00111,0.436
15,1747,12.1319,287.9,285.0,53.0,0.00116,0.459
16,1751,12.1597,291.9,287.0,53.8,0.00118,0.449
17,1744,12.1111,296.9,290.0,58.8,0.00118,0.464
18,1759,12.2153,307.6,304.0,60.6,0.00113,0.451
19,1742,12.0972,330.0,325.0,60.7,0.00123,0.45
20,1748,12.1389,386.3,372.0,79.6,0.00096,0.455
21,94,0.6528,506.9,488.5,88.8,0.00087,0.543
22,2,0.0139,512.5,512.5,68.6,0.00089,0.0
23,0,0.0,0.0,0.0,0.0,0.0,0.0
